Kurzbezeichnung;Langbezeichnung;Timestamp;NUTS1;NUTS2;NUTS3;Typ;Landeswahlkreis;Wahlkreis;Bezirk;DistrictCode;Sprengelnummer;Stimmtyp;ErfassungseinheitTyp;Wahlberechtigte;Abgegebene Stimmen;Ungültige Stimmen;Karl Nehammer – Die Volkspartei;Sozialdemokratische Partei Österreichs;Freiheitliche Partei Österreichs;Die Grünen – Die Grüne Alternative;NEOS – Die Reformkraft für dein neues Österreich;Die Bierpartei;Kommunistische Partei Österreichs – KPÖ Plus;Liste GAZA – Stimmen gegen den Völkermord;Liste Madeleine Petrovic;MFG – Österreich Menschen – Freiheit – Grundrechte;Keine von denen;Status;
NR241;Nationalratswahl 2024;09.10.2024, 12:40;AT1;AT13;AT130;Wien;09;;;;;;;1127929;810564;5527;140217;240559;166288;99354;91388;17050;30845;9053;5147;1625;3511;Endergebnis der Landeswahlbehörde;
NR241;Nationalratswahl 2024;09.10.2024, 12:40;AT1;AT13;AT130;Wien;09;;;;;Parteistimmen;Nicht zuordenbare ungültige Stimmen;1127929;87;87;;;;;;;;;;;;Endergebnis der Landeswahlbehörde;
NR241;Nationalratswahl 2024;09.10.2024, 12:40;AT1;AT13;AT130;Wahlkreis;09;Wien Nord;;;;;;243366;170888;1412;29016;50396;48206;12648;15582;4266;5206;1808;937;395;1016;Endergebnis der Landeswahlbehörde;
NR241;Nationalratswahl 2024;09.10.2024, 12:40;AT1;AT13;AT130;Wahlkreis;09;Wien Nord;;;;Parteistimmen;(Brief-)Wahlkartenauszählung Landeswahlbehörde;243366;1826;23;317;474;445;211;213;38;63;11;13;3;15;Endergebnis der Landeswahlbehörde;
NR241;Nationalratswahl 2024;09.10.2024, 12:40;AT1;AT13;AT130;Wahlkreis;09;Wien Süd;;;;;;216702;140577;1095;21407;45708;37376;10923;10783;3773;5108;2830;680;280;614;Endergebnis der Landeswahlbehörde;
NR241;Nationalratswahl 2024;09.10.2024, 12:40;AT1;AT13;AT130;Wahlkreis;09;Wien Süd;;;;Parteistimmen;(Brief-)Wahlkartenauszählung Landeswahlbehörde;216702;2170;19;388;620;501;250;222;44;85;8;20;7;6;Endergebnis der Landeswahlbehörde;
NR241;Nationalratswahl 2024;09.10.2024, 12:40;AT1;AT13;AT130;Wahlkreis;09;Wien Innen-West;;;;;;88589;70878;296;12630;20027;7782;13440;11413;1004;3092;334;521;132;207;Endergebnis der Landeswahlbehörde;
NR241;Nationalratswahl 2024;09.10.2024, 12:40;AT1;AT13;AT130;Wahlkreis;09;Wien Innen-West;;;;Parteistimmen;(Brief-)Wahlkartenauszählung Landeswahlbehörde;88589;1736;3;325;440;216;319;304;18;75;6;19;4;7;Endergebnis der Landeswahlbehörde;
NR241;Nationalratswahl 2024;09.10.2024, 12:40;AT1;AT13;AT130;Wahlkreis;09;Wien Innen-Süd;;;;;;102947;77382;392;12712;23676;10688;12694;10761;1374;3501;582;540;156;306;Endergebnis der Landeswahlbehörde;
NR241;Nationalratswahl 2024;09.10.2024, 12:40;AT1;AT13;AT130;Wahlkreis;09;Wien Innen-Süd;;;;Parteistimmen;(Brief-)Wahlkartenauszählung Landeswahlbehörde;102947;1700;10;324;446;200;330;253;38;61;5;18;9;6;Endergebnis der Landeswahlbehörde;
NR241;Nationalratswahl 2024;09.10.2024, 12:40;AT1;AT13;AT130;Wahlkreis;09;Wien Innen-Ost;;;;;;102685;71396;440;9767;23832;12239;10926;7330;1394;3499;1170;400;144;255;Endergebnis der Landeswahlbehörde;
